source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	material type	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	factor value[disease]
Con1	Homo sapiens	blood serum	not applicable	culture-negative sepsis	1	body fluid	run 1	proteomic profiling by mass spectrometry	1	25062408_HJ_Con1_GD6_1_50906.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=Unimod:1	15 ppm	15 ppm	proteomics/data/raw/25062408_HJ_Con1_GD6_1_50906.d.zip	culture-negative sepsis
Con2	Homo sapiens	blood serum	not applicable	culture-negative sepsis	2	body fluid	run 2	proteomic profiling by mass spectrometry	1	25062408_HJ_Con2_GD7_1_50908.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=Unimod:1	15 ppm	15 ppm	proteomics/data/raw/25062408_HJ_Con2_GD7_1_50908.d.zip	culture-negative sepsis
Con3	Homo sapiens	blood serum	not applicable	culture-negative sepsis	3	body fluid	run 3	proteomic profiling by mass spectrometry	1	25062408_HJ_Con3_GD8_1_50910.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=Unimod:1	15 ppm	15 ppm	proteomics/data/raw/25062408_HJ_Con3_GD8_1_50910.d.zip	culture-negative sepsis
Con4	Homo sapiens	blood serum	not applicable	culture-negative sepsis	4	body fluid	run 4	proteomic profiling by mass spectrometry	1	25062408_HJ_Con4_GD9_1_50912.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=Unimod:1	15 ppm	15 ppm	proteomics/data/raw/25062408_HJ_Con4_GD9_1_50912.d.zip	culture-negative sepsis
Con5	Homo sapiens	blood serum	not applicable	culture-negative sepsis	5	body fluid	run 5	proteomic profiling by mass spectrometry	1	25062408_HJ_Con5_GD10_1_50914.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=Unimod:1	15 ppm	15 ppm	proteomics/data/raw/25062408_HJ_Con5_GD10_1_50914.d.zip	culture-negative sepsis
Con6	Homo sapiens	blood serum	not applicable	culture-negative sepsis	6	body fluid	run 6	proteomic profiling by mass spectrometry	1	25062408_HJ_Con6_GD11_1_50916.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=Unimod:1	15 ppm	15 ppm	proteomics/data/raw/25062408_HJ_Con6_GD11_1_50916.d.zip	culture-negative sepsis
Con7	Homo sapiens	blood serum	not applicable	culture-negative sepsis	7	body fluid	run 7	proteomic profiling by mass spectrometry	1	25062408_HJ_Con7_GD12_1_50918.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=Unimod:1	15 ppm	15 ppm	proteomics/data/raw/25062408_HJ_Con7_GD12_1_50918.d.zip	culture-negative sepsis
Con8	Homo sapiens	blood serum	not applicable	culture-negative sepsis	8	body fluid	run 8	proteomic profiling by mass spectrometry	1	25062408_HJ_Con8_GE1_1_50920.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=Unimod:1	15 ppm	15 ppm	proteomics/data/raw/25062408_HJ_Con8_GE1_1_50920.d.zip	culture-negative sepsis
Con9	Homo sapiens	blood serum	not applicable	culture-negative sepsis	9	body fluid	run 9	proteomic profiling by mass spectrometry	1	25062408_HJ_Con9_GE2_1_50922.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=Unimod:1	15 ppm	15 ppm	proteomics/data/raw/25062408_HJ_Con9_GE2_1_50922.d.zip	culture-negative sepsis
Con10	Homo sapiens	blood serum	not applicable	culture-negative sepsis	10	body fluid	run 10	proteomic profiling by mass spectrometry	1	25062408_HJ_Con10_GE3_1_50924.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=Unimod:1	15 ppm	15 ppm	proteomics/data/raw/25062408_HJ_Con10_GE3_1_50924.d.zip	culture-negative sepsis
